Gender,Product Preference
Male,Product U
Male,Product V
Female,Product N
Female,Product V
Female,Product R
Male,Product V
Male,Product L
Male,Product E
Male,Product P
Male,Product Y
Male,Product M
Female,Product U
Male,Product Y
Female,Product V
Male,Product A
Male,Product Z
Male,Product P
Male,Product B
Female,Product A
Male,Product X
Female,Product I
Male,Product Q
Female,Product J
Female,Product G
Male,Product E
Female,Product D
Female,Product U
Female,Product P
Female,Product H
Female,Product Y
Female,Product M
Male,Product S
Female,Product I
Male,Product I
Male,Product R
Male,Product O
Male,Product B
Male,Product H
Female,Product P
Female,Product L
Female,Product R
Female,Product J
Female,Product S
Female,Product R
Male,Product A
Male,Product G
Female,Product K
Male,Product Y
Female,Product N
Male,Product U
Female,Product D
Female,Product E
Female,Product T
Female,Product T
Male,Product I
Female,Product Z
Male,Product U
Male,Product S
Female,Product K
Female,Product M
Female,Product P
Female,Product F
Female,Product X
Male,Product S
Female,Product P
Female,Product F
Male,Product K
Female,Product C
Male,Product A
Female,Product Q
Male,Product T
Female,Product V
Female,Product O
Male,Product J
Female,Product L
Female,Product J
Female,Product X
Female,Product H
Female,Product D
Female,Product B
Male,Product K
Male,Product T
Male,Product N
Male,Product N
Male,Product S
Female,Product N
Female,Product A
Female,Product E
Male,Product S
Female,Product M
Male,Product K
Male,Product N
Male,Product P
Male,Product V
Female,Product O
Male,Product H
Male,Product F
Male,Product W
Male,Product W
Male,Product P
Female,Product G
Male,Product M
Male,Product L
Male,Product H
Female,Product N
Male,Product S
Female,Product L
Female,Product Z
Female,Product U
Male,Product R
Female,Product T
Male,Product Z
Male,Product E
Male,Product L
Female,Product V
Male,Product N
Male,Product H
Male,Product M
Male,Product K
Male,Product N
Male,Product F
Male,Product A
Female,Product F
Female,Product H
Male,Product T
Female,Product Y
Female,Product S
Female,Product O
Female,Product I
Female,Product G
Female,Product L
Female,Product C
Male,Product J
Male,Product L
Female,Product S
Male,Product Y
Female,Product U
Female,Product E
Female,Product N
Female,Product A
Female,Product G
Male,Product U
Female,Product B
Female,Product I
Female,Product D
Female,Product X
Female,Product P
Female,Product G
Male,Product G
Male,Product H
Male,Product J
Male,Product B
Female,Product T
Female,Product T
Female,Product U
Female,Product G
Male,Product N
Male,Product R
Female,Product J
Male,Product Y
Female,Product U
Female,Product M
Male,Product Z
Female,Product H
Female,Product N
Female,Product F
Female,Product S
Female,Product G
Male,Product R
Male,Product C
Male,Product O
Male,Product Q
Male,Product N
Male,Product P
Male,Product Z
Female,Product J
Female,Product D
Male,Product F
Female,Product C
Male,Product T
Female,Product Z
Female,Product H
Female,Product X
Male,Product L
Female,Product B
Male,Product K
Female,Product H
Male,Product M
Male,Product C
Female,Product G
Male,Product O
Male,Product M
Male,Product E
Male,Product L
Female,Product Q
Female,Product X
Female,Product L
Male,Product U
Male,Product Y
Male,Product Z
Female,Product A
Male,Product C
Male,Product V
Male,Product F
Male,Product W
Male,Product K
Male,Product U
Male,Product X
Male,Product V
Female,Product W
Male,Product K
Female,Product Q
Female,Product Y
Male,Product T
Male,Product Q
Female,Product U
Male,Product O
Male,Product Q
Female,Product J
Male,Product B
Male,Product U
Male,Product U
Female,Product V
Female,Product V
Male,Product B
Female,Product Q
Male,Product J
Female,Product S
Female,Product S
Female,Product B
Male,Product B
Male,Product H
Male,Product O
Male,Product Y
Male,Product N
Female,Product Y
Female,Product G
Male,Product Y
Male,Product O
Female,Product O
Female,Product I
Female,Product W
Male,Product Q
Female,Product W
Female,Product G
Female,Product C
Male,Product C
Male,Product Z
Male,Product D
Female,Product R
Male,Product S
Male,Product W
Female,Product F
Male,Product D
Male,Product U
Male,Product F
Female,Product S
Female,Product P
Female,Product Q
Male,Product B
Male,Product F
Male,Product H
Male,Product R
Female,Product I
Male,Product X
Male,Product I
Male,Product D
Female,Product T
Male,Product D
Female,Product P
Female,Product W
Male,Product V
Male,Product Q
Male,Product B
Male,Product B
Female,Product R
Male,Product K
Male,Product E
Female,Product R
Female,Product O
Male,Product B
Female,Product I
Female,Product V
Female,Product U
Female,Product P
Female,Product L
Female,Product O
Male,Product W
Male,Product C
Female,Product B
Female,Product F
Female,Product A
Female,Product U
Male,Product K
Male,Product O
Female,Product Z
Male,Product D
Male,Product F
Male,Product E
Male,Product A
Female,Product E
Female,Product N
Female,Product R
Female,Product R
Female,Product L
Male,Product H
Male,Product N
Female,Product X
Female,Product H
Male,Product F
Female,Product R
Male,Product N
Male,Product T
Female,Product I
Male,Product I
Female,Product X
Female,Product D
Female,Product S
Male,Product P
Male,Product B
Female,Product W
Female,Product V
Male,Product X
Male,Product D
Male,Product Q
Female,Product E
Female,Product C
Male,Product F
Female,Product M
Male,Product N
Female,Product X
Male,Product V
Female,Product T
Male,Product O
Male,Product R
Female,Product L
Female,Product N
Female,Product L
Female,Product P
Male,Product N
Male,Product A
Male,Product M
Male,Product Q
Male,Product J
Female,Product T
Female,Product R
Male,Product X
Female,Product D
Female,Product J
Male,Product H
Male,Product M
Female,Product B
Male,Product G
Female,Product M
Male,Product G
Female,Product V
Male,Product I
Male,Product E
Female,Product X
Female,Product O
Female,Product J
Female,Product F
Male,Product B
Male,Product B
Male,Product S
Female,Product S
Female,Product V
Female,Product A
Male,Product O
Male,Product G
Male,Product T
Female,Product Y
Male,Product M
Male,Product X
Female,Product M
Male,Product U
Male,Product V
Female,Product X
Female,Product C
Female,Product K
Female,Product S
Male,Product O
Female,Product N
Male,Product G
Male,Product L
Female,Product V
Female,Product U
Female,Product J
Male,Product E
Male,Product Y
Male,Product A
Male,Product U
Male,Product U
Female,Product G
Female,Product S
Female,Product B
Female,Product R
Female,Product N
Male,Product M
Female,Product J
Female,Product K
Male,Product U
Male,Product X
Female,Product Z
Male,Product H
Female,Product B
Male,Product R
Male,Product U
Female,Product R
Female,Product L
Female,Product S
Male,Product Q
Male,Product V
Male,Product F
Female,Product Q
Male,Product M
Male,Product C
Female,Product T
Male,Product A
Female,Product W
Male,Product H
Female,Product E
Male,Product V
Female,Product V
Male,Product U
Male,Product W
Female,Product C
Male,Product A
Male,Product F
Female,Product P
Male,Product K
Male,Product W
Female,Product J
Male,Product Q
Male,Product Z
Female,Product M
Male,Product M
Male,Product H
Female,Product P
Female,Product V
Male,Product G
Male,Product F
Female,Product B
Female,Product J
Male,Product Y
Male,Product Q
Female,Product R
Male,Product Q
Female,Product T
Male,Product H
Female,Product X
Male,Product R
Female,Product Y
Male,Product O
Male,Product C
Female,Product Y
Male,Product U
Female,Product H
Female,Product M
Male,Product H
Female,Product I
Female,Product Y
Female,Product Q
Male,Product B
Female,Product N
Female,Product L
Male,Product X
Male,Product U
Female,Product X
Male,Product K
Female,Product V
Female,Product B
Female,Product A
Male,Product O
Female,Product C
Female,Product O
Male,Product H
Female,Product A
Female,Product S
Female,Product X
Male,Product H
Female,Product O
Female,Product V
Female,Product S
Female,Product N
Female,Product U
Female,Product T
Female,Product R
Female,Product C
Male,Product D
Male,Product K
Male,Product R
Female,Product U
Female,Product K
Female,Product D
Male,Product R
Male,Product I
Male,Product J
Male,Product L
Female,Product L
Male,Product A
Female,Product M
Male,Product Y
Female,Product B
Male,Product A
Female,Product I
Female,Product C
Female,Product Q
Female,Product F
Female,Product D
Male,Product K
Female,Product A
Female,Product K
Male,Product D
Male,Product V
Female,Product U
Male,Product X
Female,Product V
Female,Product F
Male,Product E
Female,Product Q
Female,Product M
Female,Product T
Female,Product H
Male,Product T
Female,Product R
Male,Product K
Male,Product R
Female,Product E
Female,Product L
Male,Product Z
Female,Product G
Female,Product P
Female,Product H
Male,Product C
Male,Product C
Female,Product P
Male,Product E
Male,Product Y
Male,Product K
Male,Product Z
Male,Product M
Female,Product Z
Male,Product A
Male,Product E
Male,Product X
Male,Product V
Female,Product Q
Female,Product V
Male,Product Z
Female,Product I
Female,Product Y
Female,Product B
Female,Product G
Female,Product H
Male,Product O
Male,Product G
Female,Product E
Female,Product T
Male,Product B
Female,Product S
Male,Product B
Female,Product Y
Female,Product R
Female,Product Q
Female,Product T
Female,Product O
Female,Product Q
Male,Product N
Male,Product S
Female,Product I
Male,Product M
Male,Product I
Male,Product W
Male,Product P
Male,Product M
Male,Product C
Male,Product Q
Male,Product W
Female,Product N
Male,Product R
Female,Product Q
Male,Product Z
Female,Product F
Female,Product Q
Female,Product F
Female,Product R
Female,Product J
Female,Product O
Male,Product E
Male,Product X
Male,Product C
Male,Product A
Male,Product U
Male,Product G
Female,Product Y
Female,Product N
Male,Product D
Female,Product N
Female,Product V
Male,Product A
Female,Product F
Female,Product I
Female,Product C
Male,Product J
Female,Product Z
