Gender,Income
Male,55308.02
Female,39268.1
Male,51155.97
Male,49702.34
Male,53215.85
Female,51165.08
Male,53797.0
Male,46885.33
Male,50586.09
Female,37721.71
Male,46800.93
Male,63908.34
Male,53188.08
Male,49790.79
Female,68961.23
Male,36391.65
Female,38905.44
Female,67127.11
Female,50459.61
Male,47574.17
Female,38007.96
Male,54476.96
Female,55444.6
Female,39055.06
Female,48597.24
Female,46644.84
Female,52559.77
Female,38807.5
Female,62519.47
Female,59158.24
Male,46368.24
Male,47835.81
Female,48635.78
Female,42216.91
Female,45565.71
Male,47297.3
Female,66128.68
Male,59466.18
Male,59346.55
Male,53699.26
Male,38826.73
Male,49585.09
Female,59704.88
Female,37417.35
Female,56365.53
Female,73226.09
Female,60618.17
Male,64140.29
Female,52183.39
Female,59679.32
Male,42821.47
Female,57958.64
Male,56543.88
Female,52899.11
Male,63160.07
Female,44612.15
Female,48129.42
Male,50954.62
Male,39703.89
Male,52269.32
Male,32810.7
Male,60469.55
Male,50466.37
Male,44791.07
Male,41656.26
Female,47654.21
Female,56882.6
Male,55477.39
Female,42944.62
Female,41539.6
Female,56568.99
Female,42776.53
Male,50599.1
Female,51237.55
Male,53120.62
Female,58582.7
Female,37370.37
Female,30888.41
Male,44325.53
Female,68015.28
Male,70221.74
Female,68311.77
Male,48070.19
Female,32178.85
Male,26569.61
Male,43859.62
Female,48019.26
Male,63006.25
Female,58678.05
Female,52274.05
Female,41101.55
Female,40392.2
Female,52541.28
Female,56970.51
Female,53918.81
Female,39654.02
Female,56506.68
Female,54259.11
Female,39293.34
Male,42156.79
Male,56884.96
Female,47654.92
Female,65891.47
Female,55011.29
Female,45133.69
Female,49897.94
Female,50633.83
Female,42716.1
Female,40874.12
Male,57013.9
Female,58452.73
Male,56037.81
Female,65153.18
Female,44582.27
Male,66742.71
Female,40990.79
Male,39873.14
Female,32400.41
Female,45542.05
Male,44962.78
Female,55259.37
Male,52438.91
Female,38070.27
Male,46072.74
Male,46285.38
Female,32240.18
Female,40190.53
Male,42291.86
Female,64336.25
Female,51914.51
Female,56621.69
Male,35013.65
Male,61942.14
Male,63011.02
Male,30016.55
Male,42946.83
Male,54957.66
Male,56443.88
Male,43215.05
Male,46945.01
Female,44026.19
Male,51104.18
Female,61971.79
Female,42289.58
Female,60008.2
Male,42183.28
Male,41523.73
Male,58185.95
Male,59219.36
Female,58514.1
Male,36842.03
Male,45340.49
Male,58229.89
Male,50415.42
Male,39263.07
Female,54583.18
Male,42851.93
Female,67945.25
Male,65448.41
Female,56040.97
Male,63610.07
Male,50647.91
Female,57654.37
Female,64777.2
Female,52454.99
Male,47448.13
Female,32953.78
Male,49168.66
Male,58234.23
Female,59456.33
Female,55043.65
Male,44587.01
Male,30231.78
Female,45047.85
Female,46956.55
Female,46870.71
Male,56185.56
Male,69856.76
Male,51235.29
Male,47832.68
Male,47407.78
Male,51243.85
Female,41717.06
Male,51201.99
Male,54508.12
Male,52096.86
Female,54575.42
Male,54337.48
Male,32281.03
Female,56368.7
Male,43289.85
Male,39041.61
Male,38955.48
Male,54335.42
Male,47774.25
Female,33180.31
Female,54780.38
Female,35603.92
Male,51398.21
Male,52384.99
Male,58855.77
Female,67816.85
Male,36353.24
Male,49475.26
Female,47236.65
Male,54337.5
Female,52156.69
Female,46474.54
Female,45590.98
Male,38835.49
Male,59878.62
Male,54592.04
Male,59177.68
Male,46896.04
Male,43431.65
Male,39216.85
Female,53589.18
Male,39602.07
Female,68486.63
Male,36923.57
Male,52736.6
Male,65668.55
Female,55990.9
Female,51756.74
Female,40315.16
Female,36182.31
Male,57700.5
Female,65061.47
Male,45611.5
Male,38609.38
Female,25418.31
Female,40192.35
Female,48863.43
Female,65991.23
Female,56731.34
Female,53050.85
Female,45998.8
Female,44168.34
Male,64056.48
Female,52007.39
Female,28973.99
Male,43264.6
Female,41417.84
Male,44537.36
Male,55629.11
Female,48925.55
Male,49231.35
Male,63134.73
Male,43035.39
Male,68642.0
Female,43286.92
Male,50891.98
Female,47187.96
Male,51234.19
Male,54445.92
Male,54338.35
Male,42468.83
Female,38770.85
Female,75031.72
Male,45160.16
Male,56992.12
Female,33923.59
Male,47203.87
Male,48728.01
Male,54728.15
Female,22775.46
Female,51661.41
Female,38502.59
Male,53243.46
Male,39636.71
Female,41445.17
Female,47263.72
Female,39476.71
Female,45244.66
Male,38066.24
Female,31668.3
Male,60179.57
Female,37039.51
Male,48213.19
Female,57528.91
Female,43850.56
Female,41748.34
Female,52262.38
Male,61179.34
Female,38306.85
Male,48498.52
Male,32675.05
Male,46067.99
Male,50342.05
Female,41453.75
Male,45430.08
Male,35917.73
Male,50770.79
Female,60556.94
Female,39028.56
Female,43773.28
Female,55025.46
Male,62120.91
Male,35068.1
Female,48312.15
Male,52831.31
Male,48979.44
Male,25232.08
Female,55010.9
Female,65193.36
Male,51166.62
Female,39688.94
